client_id,outflow_intensity,competitor_share,competitor_intensity,net_flow_ratio,recent_outflow_share,contributions_stopped,perf_spread_excess,fee_rate,fee_excess,tenure_years,sold_heavily,portfolio_value,age,churned,severity
C-00000,0.0419,0.0,0.0,0.1047,1.0,0,-0.0376,0.01068,0.00148,2.3,0,286500,32,0,0.067
C-00001,0.1102,0.0,0.0,-0.0456,0.5496,0,0.0499,0.00955,0.00035,4,0,594500,26,0,0.061
C-00002,0.1423,0.4609,0.0656,-0.1423,0.2957,1,-0.0215,0.01005,0.00085,2.8,1,404000,56,0,0.068
C-00003,0.1125,0.0,0.0,-0.1011,0.4296,0,-0.0013,0.00789,-0.00131,16.4,1,1893500,47,0,0.024
C-00004,0.017,0.0,0.0,-0.0099,0.5302,0,0.0439,0.00663,-0.00257,6.2,0,4380500,54,0,0.017
C-00005,0.1077,0.0,0.0,-0.0673,0.5729,0,0.0123,0.0099,0.0007,5.9,1,445500,63,0,0.0
C-00006,0.1656,0.56,0.0927,-0.1656,0.24,1,0.0117,0.011,0.0018,13.2,1,75500,50,1,0.476
C-00007,0.1304,0.0,0.0,-0.1304,0.1667,1,0.0293,0.011,0.0018,0.3,1,69000,75,1,0.065
C-00008,0.0722,0.0,0.0,-0.0722,0.0,1,0.0072,0.00969,0.00049,7.7,0,526500,35,0,0.05
C-00009,0.1543,0.0,0.0,-0.1277,0.2515,0,0.0481,0.00966,0.00046,2.3,0,541000,46,1,0.219
C-00010,0.07,0.0,0.0,0.014,0.9286,0,0.0331,0.011,0.0018,5,0,100000,27,0,0.059
C-00011,0.1009,0.0,0.0,-0.0667,0.2879,0,-0.0257,0.00914,-6e-05,0.3,0,981000,62,0,0.077
C-00012,0.0714,0.0,0.0,-0.0125,0.4688,0,-0.0034,0.011,0.0018,9.6,0,224000,33,0,0.056
C-00013,0.2303,0.4737,0.1091,-0.1067,0.3158,0,0.0406,0.00976,0.00056,7.3,0,495000,48,0,0.069
C-00014,0.2605,0.2688,0.07,-0.0992,0.6129,0,-0.0089,0.011,0.0018,0.7,1,178500,61,0,0.062
C-00015,0.1377,0.0,0.0,0.2164,0.7857,0,0.0134,0.011,0.0018,1.1,0,152500,60,0,0.091
C-00016,0.1656,0.6667,0.1104,-0.0773,0.0741,0,0.0178,0.011,0.0018,3.5,0,81500,30,1,0.629
C-00017,0.1183,0.0,0.0,-0.1183,0.6364,1,-0.0081,0.011,0.0018,0.8,0,46500,29,0,0.097
C-00018,0.0879,0.0,0.0,-0.061,0.0,0,-0.0178,0.00924,4e-05,4.8,0,848000,64,0,0.005
C-00019,0.1406,0.3879,0.0545,-0.0621,0.2931,0,-0.01,0.01002,0.00082,1.6,0,412500,31,0,0.104
C-00020,0.1053,0.0,0.0,-0.1053,0.6154,1,-0.0098,0.011,0.0018,3.9,1,123500,53,0,0.011
C-00021,0.3063,0.5862,0.1796,-0.2387,0.3218,0,0.0374,0.011,0.0018,0.3,1,142000,40,1,0.584
C-00022,0.1101,0.0,0.0,-0.1017,0.0,0,-0.0132,0.00804,-0.00116,7.7,1,1707000,72,0,0.049
C-00023,0.1769,0.1154,0.0204,0.019,0.3846,0,-0.0008,0.011,0.0018,2.2,0,73500,30,0,0.053
C-00024,0.1729,0.2004,0.0347,-0.1684,0.4528,0,-0.0057,0.00739,-0.00181,0.3,1,2943500,39,0,0.017
C-00025,0.1352,0.2593,0.0351,-0.0711,0.3704,0,0.0068,0.01059,0.00139,5.1,0,299500,63,0,0.003
C-00026,0.106,0.0,0.0,-0.106,0.3585,1,0.0057,0.011,0.0018,30,1,250000,70,1,0.338
